Wavelength (nm),Sum(calc),Na I (9.9e-6),Na II (2.1e-4),Na III (7.5e-23),Mg I (3.2e-4),Mg II (2.7e-3),Mg III (1.6e-6),Al I (1.9e-4),Al II (1.3e-3),Al III (3.7e-8),Si I (8.6e-4),Si II (1.6e-3),Si III (7.6e-8),K I (3.5e-6),K II (1.1e-4),K III (3.2e-15),Ca I (1.9e-2),Ca II (4.7e-1),Ca III (6.5e-3),Mn I (2.4e-5),Mn II (1.9e-4),Fe I (6.8e-5),Fe II (3.7e-4),Fe III (5.0e-8),Cu I (4.4e-7),Cu II (1.1e-6),Zn I (1.8e-6),Zn II (2.8e-6),Mo I (0.0e+0),Pb I (0.0e+0),Pb II (0.0e+0)
277.25,2.226e+0,,6.994e-32,9.874e-62,1.766e+0,3.837e-14,,8.930e-15,2.380e-16,1.955e-20,3.211e-14,1.063e-18,1.769e-29,,8.820e-24,2.062e-38,2.394e-13,8.932e-12,3.907e-12,,2.583e-1,2.843e-2,1.728e-1,5.670e-27,2.357e-6,2.416e-5,1.041e-14,1.352e-19,0,0,
277.27,2.989e+0,,6.959e-32,9.970e-62,2.539e+0,3.845e-14,,8.934e-15,2.384e-16,8.257e-21,3.214e-14,1.061e-18,1.762e-29,,8.818e-24,2.045e-38,2.394e-13,8.935e-12,3.485e-12,,2.709e-1,2.137e-2,1.576e-1,5.655e-27,1.364e-6,1.872e-5,1.040e-14,1.352e-19,0,0,
277.3,4.713e+0,,6.906e-32,1.011e-61,4.242e+0,3.856e-14,,8.939e-15,2.390e-16,2.192e-21,3.219e-14,1.058e-18,1.751e-29,,8.815e-24,2.019e-38,2.394e-13,8.939e-12,2.841e-12,,3.076e-1,1.427e-2,1.492e-1,5.632e-27,5.812e-7,1.235e-5,1.040e-14,1.352e-19,0,0,
277.32,6.354e+0,,6.871e-32,1.021e-61,5.849e+0,3.864e-14,,8.942e-15,2.393e-16,8.857e-22,3.223e-14,1.056e-18,1.743e-29,,8.813e-24,2.002e-38,2.394e-13,8.942e-12,2.425e-12,,3.434e-1,1.152e-2,1.508e-1,5.616e-27,3.219e-7,9.158e-6,1.039e-14,1.352e-19,0,0,
277.35,9.764e+0,,6.818e-32,1.035e-61,9.181e+0,3.876e-14,,8.948e-15,2.399e-16,2.201e-22,3.228e-14,1.053e-18,1.732e-29,,8.811e-24,1.976e-38,2.394e-13,8.946e-12,1.851e-12,,4.124e-1,1.008e-2,1.604e-1,5.593e-27,1.283e-7,5.657e-6,1.039e-14,1.352e-19,0,0,
277.37,1.280e+1,,6.783e-32,1.045e-61,1.215e+1,3.883e-14,,8.951e-15,2.403e-16,8.507e-23,3.231e-14,1.051e-18,1.725e-29,,8.809e-24,1.959e-38,2.394e-13,8.949e-12,1.512e-12,,4.668e-1,1.087e-2,1.698e-1,5.578e-27,6.801e-8,4.014e-6,1.038e-14,1.352e-19,0,0,
277.4,1.872e+1,,6.730e-32,1.059e-61,1.796e+1,3.895e-14,,8.957e-15,2.409e-16,1.978e-23,3.237e-14,1.048e-18,1.714e-29,,8.806e-24,1.933e-38,2.393e-13,8.953e-12,1.080e-12,,5.566e-1,1.494e-2,1.858e-1,5.555e-27,2.538e-8,2.321e-6,1.038e-14,1.351e-19,0,0,
277.42,2.369e+1,,6.695e-32,1.069e-61,2.285e+1,3.903e-14,,8.960e-15,2.413e-16,7.317e-24,3.240e-14,1.046e-18,1.706e-29,,8.804e-24,1.915e-38,2.393e-13,8.956e-12,8.447e-13,,6.190e-1,1.991e-2,1.966e-1,5.539e-27,1.287e-8,1.576e-6,1.037e-14,1.351e-19,0,0,
277.45,3.283e+1,,6.642e-32,1.083e-61,3.188e+1,3.914e-14,,8.965e-15,2.419e-16,1.592e-24,3.245e-14,1.043e-18,1.695e-29,,8.802e-24,1.889e-38,2.393e-13,8.960e-12,5.651e-13,,7.101e-1,3.157e-2,2.118e-1,5.516e-27,4.496e-9,8.531e-7,1.037e-14,1.351e-19,0,0,
277.47,4.011e+1,,6.606e-32,1.093e-61,3.908e+1,3.922e-14,,8.969e-15,2.423e-16,5.636e-25,3.249e-14,1.042e-18,1.688e-29,,8.800e-24,1.872e-38,2.393e-13,8.963e-12,4.228e-13,,7.654e-1,4.279e-2,2.213e-1,5.501e-27,2.181e-9,5.543e-7,1.036e-14,1.351e-19,0,0,
277.49,4.834e+1,,6.571e-32,1.103e-61,4.724e+1,3.930e-14,,8.973e-15,2.426e-16,1.960e-25,3.252e-14,1.040e-18,1.680e-29,,8.798e-24,1.855e-38,2.393e-13,8.966e-12,3.108e-13,,8.135e-1,5.732e-2,2.304e-1,5.485e-27,1.040e-9,3.539e-7,1.036e-14,1.351e-19,0,0,
277.52,6.244e+1,,6.518e-32,1.117e-61,6.125e+1,3.941e-14,,8.978e-15,2.432e-16,3.887e-26,3.257e-14,1.037e-18,1.669e-29,,8.795e-24,1.829e-38,2.393e-13,8.970e-12,1.896e-13,,8.676e-1,8.642e-2,2.449e-1,5.462e-27,3.311e-10,1.747e-7,1.035e-14,1.351e-19,0,0,
277.54,7.296e+1,,6.483e-32,1.127e-61,7.170e+1,3.949e-14,,8.981e-15,2.436e-16,6.969e-27,3.261e-14,1.035e-18,1.662e-29,,8.793e-24,1.811e-38,2.393e-13,8.973e-12,1.334e-13,,8.894e-1,1.113e-1,2.567e-1,5.447e-27,1.510e-10,1.067e-7,1.035e-14,1.351e-19,0,0,
277.57,9.026e+1,,6.430e-32,1.141e-61,8.892e+1,3.960e-14,,8.987e-15,2.442e-16,6.957e-27,3.266e-14,1.032e-18,1.650e-29,,8.791e-24,1.785e-38,2.393e-13,8.978e-12,7.618e-14,,8.984e-1,1.576e-1,2.809e-1,5.424e-27,4.502e-11,4.931e-8,1.034e-14,1.351e-19,0,0,
277.59,1.027e+2,,6.395e-32,1.151e-61,1.014e+2,3.968e-14,,8.990e-15,2.446e-16,6.949e-27,3.269e-14,1.030e-18,1.643e-29,,8.789e-24,1.768e-38,2.393e-13,8.981e-12,5.130e-14,,8.886e-1,1.945e-1,3.036e-1,5.408e-27,1.965e-11,2.883e-8,1.034e-14,1.351e-19,0,0,
277.62,1.228e+2,,6.342e-32,1.165e-61,1.214e+2,3.980e-14,,8.996e-15,2.452e-16,6.937e-27,3.275e-14,1.027e-18,1.632e-29,,8.786e-24,1.742e-38,2.392e-13,8.985e-12,2.742e-14,,8.519e-1,2.581e-1,3.517e-1,5.385e-27,5.482e-12,1.247e-8,1.033e-14,1.351e-19,0,0,
277.64,1.371e+2,,6.307e-32,1.174e-61,1.356e+2,3.987e-14,,8.999e-15,2.456e-16,6.929e-27,3.278e-14,1.025e-18,1.624e-29,,8.784e-24,1.725e-38,2.392e-13,8.988e-12,1.767e-14,,8.149e-1,3.049e-1,3.954e-1,5.370e-27,2.289e-12,6.977e-9,1.033e-14,1.350e-19,0,0,
277.67,1.599e+2,,6.254e-32,1.189e-61,1.583e+2,3.999e-14,,9.004e-15,2.461e-16,6.917e-27,3.283e-14,1.022e-18,1.613e-29,,8.782e-24,1.699e-38,2.392e-13,8.992e-12,8.846e-15,,7.448e-1,3.792e-1,4.814e-1,5.346e-27,5.978e-13,2.825e-9,1.032e-14,1.350e-19,0,0,
277.69,1.762e+2,,6.218e-32,1.198e-61,1.745e+2,4.007e-14,,9.008e-15,2.465e-16,6.909e-27,3.287e-14,1.020e-18,1.606e-29,,8.780e-24,1.682e-38,2.392e-13,8.995e-12,5.455e-15,,6.915e-1,4.292e-1,5.533e-1,5.331e-27,2.389e-13,1.513e-9,1.032e-14,1.350e-19,0,0,
277.72,2.022e+2,,6.166e-32,1.213e-61,2.004e+2,4.018e-14,,9.013e-15,2.471e-16,6.897e-27,3.292e-14,1.017e-18,1.595e-29,,8.777e-24,1.656e-38,2.392e-13,8.999e-12,2.556e-15,,6.063e-1,5.004e-1,6.827e-1,5.308e-27,5.838e-14,5.733e-10,1.031e-14,1.350e-19,0,0,
277.74,2.206e+2,,6.130e-32,1.222e-61,2.188e+2,4.026e-14,,9.017e-15,2.475e-16,6.889e-27,3.295e-14,1.015e-18,1.587e-29,,8.775e-24,1.638e-38,2.392e-13,9.002e-12,1.509e-15,,5.489e-1,5.427e-1,7.815e-1,5.293e-27,2.232e-14,2.938e-10,1.031e-14,1.350e-19,0,0,
277.76,2.400e+2,,6.095e-32,1.232e-61,2.380e+2,4.034e-14,,9.020e-15,2.479e-16,6.881e-27,3.299e-14,1.014e-18,1.580e-29,,8.773e-24,1.621e-38,2.392e-13,9.005e-12,8.749e-16,,4.927e-1,5.786e-1,8.880e-1,5.277e-27,8.387e-15,1.479e-10,1.030e-14,1.350e-19,0,0,
277.79,2.703e+2,,6.042e-32,1.246e-61,2.682e+2,4.045e-14,,9.026e-15,2.485e-16,6.868e-27,3.304e-14,1.011e-18,1.569e-29,,8.771e-24,1.595e-38,2.392e-13,9.009e-12,3.738e-16,,4.134e-1,6.173e-1,1.055e+0,5.254e-27,1.869e-15,5.111e-11,1.029e-14,1.350e-19,0,0,
277.81,2.909e+2,,6.007e-32,1.256e-61,2.888e+2,1.227e-13,,9.029e-15,2.489e-16,6.860e-27,3.307e-14,1.009e-18,1.561e-29,,8.769e-24,1.578e-38,2.392e-13,9.012e-12,2.075e-16,,3.653e-1,6.313e-1,1.166e+0,5.239e-27,6.717e-16,2.462e-11,1.029e-14,1.350e-19,0,0,
277.84,3.216e+2,,5.954e-32,1.270e-61,3.194e+2,6.269e-13,,9.035e-15,2.494e-16,6.848e-27,3.313e-14,1.006e-18,1.550e-29,,8.766e-24,1.552e-38,2.391e-13,9.016e-12,8.299e-17,,3.018e-1,6.333e-1,1.320e+0,5.215e-27,1.401e-16,7.967e-12,1.028e-14,1.350e-19,0,0,
277.86,3.411e+2,,5.919e-32,1.280e-61,3.388e+2,1.820e-12,,9.038e-15,2.498e-16,6.840e-27,3.316e-14,1.004e-18,1.543e-29,,8.764e-24,1.534e-38,2.391e-13,9.019e-12,4.408e-17,,2.658e-1,6.221e-1,1.408e+0,5.200e-27,4.818e-17,3.673e-12,1.028e-14,1.349e-19,0,0,
277.89,3.672e+2,,5.866e-32,1.294e-61,3.649e+2,8.718e-12,,9.043e-15,2.504e-16,6.828e-27,3.321e-14,1.001e-18,1.532e-29,,8.761e-24,1.508e-38,2.391e-13,9.024e-12,1.651e-17,,2.221e-1,5.884e-1,1.508e+0,5.177e-27,9.404e-18,1.112e-12,1.027e-14,1.349e-19,0,0,
277.91,3.816e+2,,5.830e-32,1.304e-61,3.793e+2,2.424e-11,,9.047e-15,2.508e-16,6.820e-27,3.325e-14,9.991e-19,1.524e-29,,8.760e-24,1.491e-38,2.391e-13,9.027e-12,8.391e-18,,2.001e-1,5.564e-1,1.550e+0,5.161e-27,3.095e-18,4.908e-13,1.027e-14,1.349e-19,0,0,
277.94,3.972e+2,,5.777e-32,1.318e-61,3.949e+2,1.088e-10,,9.052e-15,2.514e-16,6.808e-27,3.330e-14,9.962e-19,1.513e-29,,8.757e-24,1.465e-38,2.391e-13,9.031e-12,2.942e-18,,1.779e-1,4.983e-1,1.572e+0,5.138e-27,3.091e-18,1.392e-13,1.026e-14,1.349e-19,0,0,
277.96,4.029e+2,,5.742e-32,1.328e-61,4.007e+2,2.897e-10,,9.056e-15,2.518e-16,6.800e-27,3.333e-14,9.942e-19,1.505e-29,,8.755e-24,1.448e-38,2.391e-13,9.034e-12,1.431e-18,,1.704e-1,4.552e-1,1.560e+0,5.123e-27,3.088e-18,5.875e-14,1.026e-14,1.349e-19,0,0,
277.99,4.038e+2,,5.689e-32,1.342e-61,4.017e+2,1.218e-9,,9.061e-15,2.524e-16,6.788e-27,3.339e-14,9.913e-19,1.494e-29,,8.752e-24,1.422e-38,2.391e-13,9.038e-12,4.698e-19,,1.699e-1,3.884e-1,1.508e+0,5.100e-27,3.084e-18,1.559e-14,1.025e-14,1.349e-19,0,0,
278.01,3.992e+2,,5.654e-32,1.352e-61,3.972e+2,3.106e-9,,9.065e-15,2.528e-16,6.780e-27,3.342e-14,9.894e-19,1.487e-29,,8.751e-24,1.404e-38,2.391e-13,9.041e-12,2.187e-19,,1.766e-1,3.445e-1,1.458e+0,5.084e-27,3.081e-18,6.300e-15,1.025e-14,1.349e-19,0,0,
278.03,3.908e+2,,5.619e-32,1.362e-61,3.889e+2,7.783e-9,,9.068e-15,2.531e-16,6.771e-27,3.346e-14,9.875e-19,1.479e-29,,8.749e-24,1.387e-38,2.391e-13,9.044e-12,1.000e-19,,1.887e-1,3.024e-1,1.401e+0,5.069e-27,3.078e-18,2.501e-15,1.024e-14,1.349e-19,0,0,
278.06,3.717e+2,,5.566e-32,1.376e-61,3.699e+2,2.989e-8,,9.074e-15,2.537e-16,6.759e-27,3.351e-14,9.846e-19,1.468e-29,,8.746e-24,1.361e-38,2.390e-13,9.048e-12,2.998e-20,,2.164e-1,2.445e-1,1.317e+0,5.046e-27,3.074e-18,6.053e-16,1.024e-14,1.349e-19,0,0,
278.08,3.555e+2,,5.531e-32,1.386e-61,3.538e+2,7.171e-8,,9.077e-15,2.541e-16,6.751e-27,3.354e-14,9.826e-19,1.461e-29,,8.744e-24,1.344e-38,2.390e-13,9.051e-12,1.320e-20,,2.409e-1,2.102e-1,1.272e+0,5.030e-27,3.071e-18,2.299e-16,1.023e-14,1.349e-19,0,0,
278.11,3.277e+2,,5.478e-32,1.400e-61,3.260e+2,2.580e-7,,9.082e-15,2.547e-16,6.739e-27,3.359e-14,9.797e-19,1.450e-29,,8.741e-24,1.318e-38,2.390e-13,9.055e-12,4.063e-21,,2.860e-1,1.654e-1,1.234e+0,5.007e-27,3.067e-18,5.209e-17,1.023e-14,1.348e-19,0,0,
278.13,3.078e+2,,5.442e-32,1.410e-61,3.061e+2,5.929e-7,,9.086e-15,2.551e-16,6.731e-27,3.363e-14,9.778e-19,1.442e-29,,8.740e-24,1.301e-38,2.390e-13,9.058e-12,2.500e-21,,3.213e-1,1.400e-1,1.235e+0,4.992e-27,3.064e-18,1.894e-17,1.022e-14,1.348e-19,0,0,
278.16,2.773e+2,,5.389e-32,1.424e-61,2.755e+2,1.999e-6,,9.091e-15,2.557e-16,6.719e-27,3.368e-14,9.749e-19,1.431e-29,,8.737e-24,1.275e-38,2.390e-13,9.062e-12,3.998e-21,,3.821e-1,1.081e-1,1.283e+0,4.969e-27,3.060e-18,4.016e-18,1.022e-14,1.348e-19,0,0,
278.18,2.572e+2,,5.354e-32,1.433e-61,2.553e+2,4.399e-6,,9.095e-15,2.561e-16,6.711e-27,3.371e-14,9.730e-19,1.424e-29,,8.735e-24,1.257e-38,2.390e-13,9.065e-12,8.635e-21,9.489e-15,4.277e-1,9.060e-2,1.345e+0,4.953e-27,3.057e-18,1.397e-18,1.021e-14,1.348e-19,0,0,
278.21,2.284e+2,,5.301e-32,1.448e-61,2.263e+2,1.390e-5,,9.100e-15,2.566e-16,6.699e-27,3.377e-14,9.701e-19,1.413e-29,,8.732e-24,1.231e-38,2.390e-13,9.070e-12,2.972e-20,5.019e-14,5.040e-1,6.951e-2,1.480e+0,4.930e-27,3.053e-18,2.774e-19,1.021e-14,1.348e-19,0,0,
278.23,2.103e+2,,5.266e-32,1.457e-61,2.081e+2,2.928e-5,,9.104e-15,2.570e-16,6.691e-27,3.380e-14,9.681e-19,1.405e-29,,8.731e-24,1.214e-38,2.390e-13,9.072e-12,6.702e-20,1.491e-13,5.600e-1,5.870e-2,1.591e+0,4.915e-27,3.050e-18,9.235e-20,1.020e-14,1.348e-19,0,0,
278.26,1.850e+2,,5.213e-32,1.472e-61,1.825e+2,8.670e-5,,9.109e-15,2.576e-16,6.679e-27,3.385e-14,9.653e-19,1.394e-29,,8.728e-24,1.188e-38,2.389e-13,9.077e-12,2.200e-19,7.390e-13,6.515e-1,4.740e-2,1.773e+0,4.892e-27,3.046e-18,9.230e-20,1.020e-14,1.348e-19,0,0,
278.28,1.692e+2,,5.178e-32,1.481e-61,1.666e+2,1.749e-4,,9.113e-15,2.580e-16,6.671e-27,3.389e-14,9.633e-19,1.387e-29,,8.726e-24,1.171e-38,2.389e-13,9.080e-12,4.755e-19,2.102e-12,7.168e-1,4.347e-2,1.895e+0,4.876e-27,3.043e-18,9.226e-20,1.019e-14,1.348e-19,0,0,
278.3,1.543e+2,,5.143e-32,1.491e-61,1.515e+2,3.469e-4,,9.116e-15,2.584e-16,6.662e-27,3.392e-14,9.614e-19,1.379e-29,,8.724e-24,1.153e-38,2.389e-13,9.083e-12,1.010e-18,5.879e-12,7.845e-1,4.299e-2,2.008e+0,4.861e-27,3.040e-18,9.222e-20,1.019e-14,1.348e-19,0,0,
278.33,1.333e+2,,5.090e-32,1.505e-61,1.302e+2,9.378e-4,,9.121e-15,2.590e-16,6.650e-27,3.397e-14,9.585e-19,1.368e-29,,8.721e-24,1.127e-38,2.389e-13,9.087e-12,3.028e-18,2.661e-11,8.878e-1,5.048e-2,2.145e+0,4.838e-27,3.036e-18,9.217e-20,1.018e-14,1.347e-19,0,0,
278.35,1.201e+2,,5.054e-32,1.515e-61,1.169e+2,1.781e-3,,9.125e-15,2.594e-16,6.642e-27,3.401e-14,9.566e-19,1.361e-29,,8.720e-24,1.110e-38,2.389e-13,9.090e-12,6.160e-18,7.127e-11,9.551e-1,6.274e-2,2.206e+0,4.822e-27,3.033e-18,9.213e-20,1.018e-14,1.347e-19,0,0,
278.38,1.014e+2,,5.001e-32,1.529e-61,9.796e+1,4.511e-3,,9.130e-15,2.599e-16,6.630e-27,3.406e-14,9.537e-19,1.349e-29,,8.717e-24,1.084e-38,2.389e-13,9.094e-12,1.730e-17,3.024e-10,1.048e+0,9.640e-2,2.241e+0,4.799e-27,3.029e-18,9.207e-20,1.017e-14,1.347e-19,0,0,
278.4,8.961e+1,,4.966e-32,1.539e-61,8.614e+1,8.203e-3,,9.134e-15,2.603e-16,6.622e-27,3.410e-14,9.517e-19,1.342e-29,,8.715e-24,1.067e-38,2.389e-13,9.097e-12,3.371e-17,7.756e-10,1.101e+0,1.325e-1,2.224e+0,4.784e-27,3.026e-18,9.204e-20,1.017e-14,1.347e-19,0,0,
278.43,7.321e+1,,4.913e-32,1.553e-61,6.967e+1,1.947e-2,,9.139e-15,2.609e-16,6.610e-27,3.415e-14,9.488e-19,1.331e-29,,8.712e-24,1.041e-38,2.389e-13,9.101e-12,8.874e-17,3.084e-9,1.161e+0,2.144e-1,2.138e+0,4.761e-27,3.022e-18,9.198e-20,1.016e-14,1.347e-19,0,0,
278.45,6.318e+1,,4.878e-32,1.563e-61,5.963e+1,3.391e-2,,9.143e-15,2.613e-16,6.602e-27,3.418e-14,9.469e-19,1.323e-29,,8.711e-24,1.024e-38,2.389e-13,9.104e-12,1.656e-16,7.576e-9,1.185e+0,2.929e-1,2.044e+0,4.745e-27,3.019e-18,9.194e-20,1.016e-14,1.347e-19,0,0,
278.48,4.969e+1,,4.825e-32,1.577e-61,4.611e+1,7.542e-2,,9.148e-15,2.619e-16,6.590e-27,3.423e-14,9.440e-19,1.312e-29,,8.708e-24,9.975e-39,2.388e-13,9.108e-12,4.084e-16,2.824e-8,1.193e+0,4.561e-1,1.857e+0,4.722e-27,3.014e-18,9.189e-20,1.015e-14,1.347e-19,0,0,
278.5,4.182e+1,,4.790e-32,1.587e-61,3.820e+1,1.258e-1,,9.151e-15,2.623e-16,6.582e-27,3.427e-14,9.421e-19,1.305e-29,,8.706e-24,9.802e-39,2.388e-13,9.111e-12,7.296e-16,6.643e-8,1.178e+0,6.012e-1,1.711e+0,4.707e-27,3.012e-18,9.185e-20,1.015e-14,1.347e-19,0,0,
278.53,3.180e+1,,4.737e-32,1.601e-61,2.805e+1,2.621e-1,,9.157e-15,2.629e-16,6.570e-27,3.432e-14,9.392e-19,1.294e-29,,8.703e-24,9.542e-39,2.388e-13,9.116e-12,1.687e-15,2.320e-7,1.126e+0,8.821e-1,1.472e+0,4.684e-27,3.007e-18,9.179e-20,1.014e-14,1.347e-19,0,0,
278.55,2.633e+1,,4.702e-32,1.611e-61,2.242e+1,4.185e-1,,9.160e-15,2.632e-16,6.561e-27,3.435e-14,9.372e-19,1.286e-29,,8.701e-24,9.369e-39,2.388e-13,9.118e-12,2.886e-15,5.228e-7,1.074e+0,1.115e+0,1.308e+0,4.668e-27,3.005e-18,9.176e-20,1.014e-14,1.346e-19,0,0,
278.57,2.184e+1,,4.666e-32,1.621e-61,1.764e+1,6.568e-1,,9.164e-15,2.636e-16,6.553e-27,3.439e-14,9.353e-19,1.279e-29,,8.700e-24,9.196e-39,2.388e-13,9.121e-12,4.852e-15,1.158e-6,1.010e+0,1.386e+0,1.146e+0,4.653e-27,3.002e-18,9.172e-20,1.013e-14,1.346e-19,0,0,
278.6,1.689e+1,,4.613e-32,1.635e-61,1.196e+1,1.250e+0,,9.169e-15,2.642e-16,6.541e-27,3.444e-14,9.324e-19,1.268e-29,,8.697e-24,8.936e-39,2.388e-13,9.126e-12,1.024e-14,3.693e-6,8.983e-1,1.859e+0,9.174e-1,4.630e-27,2.997e-18,9.166e-20,1.012e-14,1.346e-19,0,0,
278.62,1.474e+1,,4.578e-32,1.645e-61,9.051e+0,1.879e+0,,9.173e-15,2.646e-16,6.533e-27,3.448e-14,9.305e-19,1.260e-29,,8.695e-24,8.763e-39,2.388e-13,9.129e-12,1.649e-14,7.832e-6,8.177e-1,2.213e+0,7.782e-1,4.614e-27,2.995e-18,9.163e-20,1.012e-14,1.346e-19,0,0,
278.65,1.320e+1,,4.525e-32,1.659e-61,5.778e+0,3.350e+0,,9.178e-15,2.652e-16,6.521e-27,3.453e-14,9.276e-19,1.249e-29,,8.692e-24,8.503e-39,2.388e-13,9.133e-12,3.262e-14,2.342e-5,6.957e-1,2.782e+0,5.941e-1,4.591e-27,2.990e-18,9.157e-20,1.011e-14,1.346e-19,0,0,
278.67,1.330e+1,,4.490e-32,1.668e-61,4.197e+0,4.822e+0,,9.182e-15,2.656e-16,6.513e-27,3.456e-14,9.257e-19,1.242e-29,,8.690e-24,8.330e-39,2.387e-13,9.136e-12,5.030e-14,4.756e-5,6.179e-1,3.171e+0,4.890e-1,4.576e-27,2.988e-18,9.153e-20,1.011e-14,1.346e-19,0,0,
278.7,1.519e+1,,4.437e-32,1.683e-61,2.519e+0,8.059e+0,,9.187e-15,2.662e-16,6.501e-27,3.461e-14,9.228e-19,1.231e-29,,8.688e-24,8.071e-39,2.387e-13,9.140e-12,9.323e-14,1.333e-4,5.128e-1,3.738e+0,3.578e-1,4.553e-27,2.983e-18,9.148e-20,1.010e-14,1.346e-19,0,0,
278.72,1.768e+1,,4.402e-32,1.692e-61,1.755e+0,1.111e+1,,9.190e-15,2.666e-16,6.493e-27,3.465e-14,9.208e-19,1.223e-29,,8.686e-24,7.897e-39,2.387e-13,9.143e-12,1.377e-13,2.593e-4,4.534e-1,4.082e+0,2.869e-1,4.537e-27,2.980e-18,9.144e-20,1.010e-14,1.346e-19,0,0,
278.75,2.349e+1,,4.349e-32,1.707e-61,9.885e-1,1.740e+1,,9.196e-15,2.671e-16,6.481e-27,3.470e-14,9.179e-19,1.212e-29,,8.683e-24,7.638e-39,2.387e-13,9.147e-12,2.391e-13,6.810e-4,3.830e-1,4.511e+0,2.024e-1,4.514e-27,2.976e-18,9.138e-20,1.009e-14,1.346e-19,0,0,
278.77,2.887e+1,,4.314e-32,1.716e-61,6.601e-1,2.298e+1,,9.199e-15,2.675e-16,6.473e-27,3.474e-14,9.160e-19,1.205e-29,,8.681e-24,2.298e-38,2.387e-13,9.150e-12,3.381e-13,1.269e-3,3.492e-1,4.719e+0,1.589e-1,4.499e-27,2.973e-18,9.135e-20,1.009e-14,1.345e-19,0,0,
278.8,3.944e+1,,4.261e-32,1.731e-61,3.489e-1,3.377e+1,,9.205e-15,2.681e-16,6.460e-27,3.479e-14,9.131e-19,1.193e-29,,8.679e-24,1.162e-37,2.387e-13,9.154e-12,5.504e-13,3.123e-3,3.178e-1,4.891e+0,1.091e-1,4.475e-27,2.969e-18,9.129e-20,1.008e-14,1.345e-19,0,0,
278.82,4.826e+1,,4.225e-32,1.740e-61,2.233e-1,4.274e+1,,9.208e-15,2.685e-16,6.452e-27,3.482e-14,9.112e-19,1.186e-29,,8.677e-24,3.348e-37,2.387e-13,9.157e-12,7.452e-13,5.572e-3,3.084e-1,4.903e+0,8.446e-2,4.460e-27,2.966e-18,9.125e-20,1.008e-14,1.345e-19,0,0,
278.84,5.856e+1,,4.190e-32,1.750e-61,1.404e-1,5.321e+1,,9.212e-15,2.689e-16,6.444e-27,3.486e-14,9.092e-19,1.179e-29,,8.675e-24,9.486e-37,2.387e-13,9.160e-12,9.918e-13,9.771e-3,3.068e-1,4.833e+0,6.527e-2,4.445e-27,2.963e-18,9.121e-20,1.007e-14,1.345e-19,0,0,
278.87,7.675e+1,,4.137e-32,1.764e-61,6.784e-2,7.172e+1,,9.217e-15,2.695e-16,6.432e-27,3.491e-14,9.063e-19,1.167e-29,,8.672e-24,4.380e-36,2.387e-13,9.164e-12,1.474e-12,2.197e-2,3.155e-1,4.582e+0,4.458e-2,4.421e-27,2.959e-18,9.116e-20,1.007e-14,1.345e-19,0,0,
278.89,9.062e+1,,4.102e-32,1.774e-61,4.087e-2,8.585e+1,,9.221e-15,2.699e-16,6.424e-27,3.494e-14,9.044e-19,1.160e-29,,8.670e-24,1.189e-35,2.386e-13,9.167e-12,1.879e-12,3.689e-2,3.261e-1,4.330e+0,3.502e-2,4.406e-27,2.956e-18,9.112e-20,1.006e-14,1.345e-19,0,0,
278.92,1.139e+2,,4.049e-32,1.788e-61,1.851e-2,1.096e+2,,9.226e-15,2.704e-16,6.412e-27,3.500e-14,9.015e-19,1.149e-29,,8.668e-24,5.146e-35,2.386e-13,9.172e-12,2.616e-12,7.774e-2,3.450e-1,3.855e+0,2.556e-2,4.383e-27,2.952e-18,9.106e-20,1.006e-14,1.345e-19,0,0,
278.94,1.310e+2,,4.014e-32,1.798e-61,1.068e-2,1.270e+2,,9.229e-15,2.708e-16,6.404e-27,3.503e-14,8.996e-19,1.141e-29,,8.666e-24,1.338e-34,2.386e-13,9.175e-12,3.193e-12,1.250e-1,3.571e-1,3.495e+0,2.190e-2,4.367e-27,2.949e-18,9.103e-20,1.005e-14,1.345e-19,0,0,
278.97,1.595e+2,,3.961e-32,1.812e-61,4.531e-3,1.560e+2,,9.235e-15,2.714e-16,6.392e-27,3.508e-14,8.967e-19,1.130e-29,,8.663e-24,5.429e-34,2.386e-13,9.179e-12,4.168e-12,2.469e-1,3.713e-1,2.925e+0,1.977e-2,4.344e-27,2.945e-18,9.097e-20,1.005e-14,1.345e-19,0,0,
278.99,1.813e+2,,3.926e-32,1.822e-61,2.504e-3,1.779e+2,,9.238e-15,2.718e-16,6.384e-27,3.512e-14,8.947e-19,1.123e-29,,8.661e-24,1.352e-33,2.386e-13,9.182e-12,4.871e-12,3.804e-1,3.770e-1,2.545e+0,2.044e-2,4.329e-27,2.942e-18,9.093e-20,1.004e-14,1.345e-19,0,0,
279.02,2.210e+2,,3.873e-32,1.836e-61,9.954e-4,2.179e+2,,9.244e-15,2.724e-16,6.372e-27,3.517e-14,8.919e-19,1.112e-29,,8.659e-24,5.143e-33,2.386e-13,9.186e-12,5.957e-12,7.041e-1,3.789e-1,2.005e+0,2.464e-2,4.306e-27,2.938e-18,9.088e-20,1.004e-14,1.344e-19,0,0,
279.04,2.556e+2,,3.837e-32,1.846e-61,5.267e-4,2.525e+2,,9.247e-15,2.728e-16,6.364e-27,3.520e-14,8.899e-19,1.104e-29,,8.657e-24,1.227e-32,2.386e-13,9.189e-12,6.667e-12,1.039e+0,3.763e-1,1.676e+0,2.974e-2,4.290e-27,2.935e-18,9.084e-20,1.003e-14,1.344e-19,0,0,
