Wavelength (nm),Sum(calc),Li I (3.1e-6),Li II (6.8e-5),Li III (1.6e-38),C I (2.2e-3),C II (1.1e-4),C III (3.2e-13),Na I (2.8e-3),Na II (5.7e-2),Na III (1.1e-20),Mg I (1.2e-2),Mg II (9.4e-2),Mg III (4.6e-5),Al I (2.1e-2),Al II (1.3e-1),Al III (2.9e-6),Si I (1.5e-1),Si II (2.6e-1),Si III (9.5e-6),K I (8.5e-4),K II (2.6e-2),K III (4.9e-13),Ca I (3.5e-3),Ca II (8.2e-2),Ca III (9.6e-4),Ti I (9.7e-4),Ti II (1.5e-2),Ti III (2.6e-5),Cr I (1.4e-5),Cr II (1.3e-4),Mn I (1.6e-4),Mn II (1.2e-3),Fe I (1.5e-2),Fe II (7.7e-2),Fe III (8.3e-6),Ni I (3.5e-5),Ni II (9.7e-5),Ni III (2.6e-9),Cu I (1.3e-5),Cu II (2.9e-5),Zn I (5.3e-5),Zn II (7.3e-5),Pr II (1.6e-2),Eu I (7.7e-4),Eu II (3.0e-2),Tm I (1.7e-5),Tm II (4.9e-4)
506.97,4.629e+1,9.547e-25,2.606e-59,,2.491e-29,3.162e-37,1.329e-54,1.439e-13,,7.890e-67,2.274e-23,1.575e-26,,1.291e-24,1.349e-27,2.245e-37,1.090e-24,2.891e-26,1.023e-39,9.517e-27,7.940e-31,,5.331e-24,7.419e-26,3.389e-23,2.922e+0,4.941e+0,5.942e-8,2.318e-28,2.997e-27,6.391e-27,3.612e-28,2.799e+1,4.308e-1,1.239e-10,1.686e-18,,6.546e-37,1.676e-26,8.639e-6,6.059e-24,6.909e-29,4.542e-24,9.857e+0,,1.465e-1,
506.99,4.165e+1,9.570e-25,2.586e-59,,2.506e-29,3.167e-37,1.338e-54,1.751e-13,,7.891e-67,2.275e-23,1.576e-26,,1.291e-24,1.345e-27,2.243e-37,1.090e-24,2.887e-26,1.015e-39,9.518e-27,7.934e-31,,5.334e-24,7.425e-26,1.439e-23,3.699e+0,5.441e+0,5.337e-8,2.342e-28,2.999e-27,6.408e-27,3.613e-28,2.434e+1,4.705e-1,1.139e-10,7.504e-18,,6.551e-37,1.677e-26,5.874e-6,6.060e-24,6.913e-29,4.547e-24,7.552e+0,,1.460e-1,
507.00,3.952e+1,9.581e-25,2.575e-59,,2.513e-29,3.170e-37,1.342e-54,1.911e-13,,7.891e-67,2.275e-23,1.577e-26,,1.291e-24,1.343e-27,2.242e-37,1.090e-24,2.885e-26,1.011e-39,9.519e-27,7.931e-31,,5.336e-24,7.429e-26,9.280e-24,4.121e+0,5.756e+0,5.015e-8,2.354e-28,3.001e-27,6.416e-27,3.614e-28,2.246e+1,4.906e-1,1.081e-10,1.567e-17,,6.554e-37,1.677e-26,4.795e-6,6.060e-24,6.915e-29,4.550e-24,6.542e+0,,1.492e-1,
507.02,3.580e+1,9.603e-25,2.554e-59,,2.528e-29,3.176e-37,1.350e-54,2.229e-13,,7.892e-67,2.276e-23,1.578e-26,,1.291e-24,1.339e-27,2.241e-37,1.091e-24,2.881e-26,1.004e-39,9.520e-27,7.926e-31,,5.339e-24,7.436e-26,3.779e-24,5.010e+0,6.544e+0,4.356e-8,2.378e-28,3.004e-27,6.434e-27,3.616e-28,1.875e+1,5.289e-1,9.525e-11,6.690e-17,,6.559e-37,1.678e-26,3.132e-6,6.061e-24,6.920e-29,4.554e-24,4.806e+0,,1.619e-1,
507.04,3.291e+1,9.626e-25,2.534e-59,,2.544e-29,3.182e-37,1.358e-54,2.528e-13,,7.893e-67,2.277e-23,1.579e-26,,1.291e-24,1.336e-27,2.239e-37,1.091e-24,2.877e-26,9.961e-40,9.522e-27,7.920e-31,,5.342e-24,7.443e-26,1.496e-24,5.926e+0,7.570e+0,3.697e-8,2.401e-28,3.007e-27,6.451e-27,3.618e-28,1.524e+1,5.617e-1,8.165e-11,2.778e-16,,6.564e-37,1.679e-26,1.991e-6,6.061e-24,6.924e-29,4.559e-24,3.433e+0,,1.824e-1,
507.05,3.181e+1,9.637e-25,2.523e-59,,2.551e-29,3.184e-37,1.362e-54,2.664e-13,,7.893e-67,2.278e-23,1.579e-26,,1.291e-24,1.334e-27,2.239e-37,1.091e-24,2.875e-26,9.923e-40,9.523e-27,7.917e-31,,5.343e-24,7.446e-26,9.314e-25,6.377e+0,8.177e+0,3.377e-8,2.413e-28,3.008e-27,6.459e-27,3.619e-28,1.362e+1,5.750e-1,7.480e-11,5.603e-16,,6.567e-37,1.680e-26,1.572e-6,6.062e-24,6.926e-29,4.561e-24,2.871e+0,,1.953e-1,
507.07,3.028e+1,9.659e-25,2.502e-59,,2.566e-29,3.190e-37,1.370e-54,2.898e-13,,7.894e-67,2.279e-23,1.580e-26,,1.291e-24,1.330e-27,2.237e-37,1.092e-24,2.871e-26,9.847e-40,9.524e-27,7.911e-31,,5.346e-24,7.453e-26,3.535e-25,7.233e+0,9.571e+0,2.767e-8,2.437e-28,3.011e-27,6.477e-27,3.620e-28,1.069e+1,5.932e-1,6.148e-11,2.232e-15,,6.572e-37,1.681e-26,9.593e-7,6.062e-24,6.931e-29,4.566e-24,1.967e+0,,2.257e-1,
507.09,2.960e+1,9.682e-25,2.482e-59,,2.582e-29,3.196e-37,1.378e-54,3.065e-13,,7.895e-67,2.280e-23,1.581e-26,,1.291e-24,1.327e-27,2.236e-37,1.092e-24,2.866e-26,9.771e-40,9.526e-27,7.905e-31,,5.350e-24,7.460e-26,1.305e-25,7.977e+0,1.117e+1,2.214e-8,2.461e-28,3.014e-27,6.494e-27,3.622e-28,8.275e+0,5.987e-1,4.913e-11,8.647e-15,,6.577e-37,1.682e-26,5.697e-7,6.063e-24,6.935e-29,4.571e-24,1.310e+0,,2.612e-1,
507.10,2.953e+1,9.693e-25,2.471e-59,,2.589e-29,3.199e-37,1.382e-54,3.119e-13,,7.895e-67,2.280e-23,1.581e-26,,1.291e-24,1.325e-27,2.235e-37,1.092e-24,2.864e-26,9.733e-40,9.527e-27,7.903e-31,,5.351e-24,7.463e-26,7.842e-26,8.290e+0,1.203e+1,1.962e-8,2.472e-28,3.015e-27,6.502e-27,3.623e-28,7.270e+0,5.962e-1,4.347e-11,1.684e-14,,6.579e-37,1.682e-26,4.345e-7,6.063e-24,6.937e-29,4.573e-24,1.058e+0,,2.804e-1,
507.12,2.985e+1,9.715e-25,2.450e-59,,2.604e-29,3.204e-37,1.391e-54,3.163e-13,,7.896e-67,2.282e-23,1.582e-26,,1.291e-24,1.321e-27,2.233e-37,1.093e-24,2.860e-26,9.657e-40,5.906e-26,7.897e-31,,5.354e-24,7.470e-26,2.775e-26,8.768e+0,1.382e+1,1.513e-8,2.496e-28,3.018e-27,6.519e-27,3.625e-28,5.687e+0,5.811e-1,3.331e-11,6.259e-14,,6.584e-37,1.683e-26,2.475e-7,6.064e-24,6.942e-29,4.578e-24,6.754e-1,,3.208e-1,
507.14,3.061e+1,9.738e-25,2.430e-59,,2.619e-29,3.210e-37,1.399e-54,3.119e-13,,7.896e-67,2.283e-23,1.583e-26,,1.290e-24,1.317e-27,2.232e-37,1.093e-24,2.856e-26,9.581e-40,3.560e-25,7.891e-31,,5.357e-24,7.477e-26,9.546e-27,9.017e+0,1.558e+1,1.138e-8,2.520e-28,3.021e-27,6.537e-27,3.626e-28,4.681e+0,5.530e-1,2.482e-11,2.262e-13,,6.589e-37,1.684e-26,1.372e-7,6.065e-24,6.946e-29,4.583e-24,4.194e-1,,3.621e-1,
507.15,3.111e+1,9.749e-25,2.419e-59,,2.627e-29,3.213e-37,1.403e-54,3.065e-13,,7.897e-67,2.283e-23,1.584e-26,,1.290e-24,1.316e-27,2.231e-37,1.094e-24,2.854e-26,9.543e-40,8.651e-25,7.888e-31,,5.359e-24,7.481e-26,5.541e-27,9.048e+0,1.642e+1,9.778e-9,2.532e-28,3.022e-27,6.545e-27,3.627e-28,4.397e+0,5.349e-1,2.120e-11,4.256e-13,,6.592e-37,1.684e-26,1.011e-7,6.065e-24,6.948e-29,4.585e-24,3.270e-1,,3.824e-1,
507.17,3.223e+1,9.771e-25,2.398e-59,,2.642e-29,3.218e-37,1.411e-54,2.898e-13,,7.898e-67,2.284e-23,1.585e-26,,1.290e-24,1.312e-27,2.229e-37,1.094e-24,2.850e-26,9.467e-40,5.002e-24,7.883e-31,,5.362e-24,7.487e-26,1.827e-27,8.922e+0,1.793e+1,7.079e-9,2.555e-28,3.025e-27,6.562e-27,3.629e-28,4.277e+0,4.919e-1,1.515e-11,1.476e-12,,6.597e-37,1.685e-26,5.372e-8,6.066e-24,6.953e-29,4.590e-24,1.947e-1,,4.210e-1,
507.19,3.343e+1,9.794e-25,2.378e-59,,2.657e-29,3.224e-37,1.419e-54,2.664e-13,,7.898e-67,2.285e-23,1.586e-26,,1.290e-24,1.308e-27,2.228e-37,1.094e-24,2.846e-26,9.392e-40,2.813e-23,7.877e-31,,5.365e-24,7.494e-26,5.861e-28,8.556e+0,1.910e+1,4.993e-9,2.579e-28,3.028e-27,6.580e-27,3.631e-28,4.768e+0,4.430e-1,1.052e-11,4.977e-12,,6.602e-37,1.686e-26,2.777e-8,6.067e-24,6.957e-29,4.595e-24,1.127e-1,,4.548e-1,
507.20,3.404e+1,9.805e-25,2.367e-59,,2.665e-29,3.227e-37,1.423e-54,2.528e-13,,7.899e-67,2.286e-23,1.586e-26,,1.290e-24,1.307e-27,2.227e-37,1.095e-24,2.844e-26,9.354e-40,6.601e-23,7.874e-31,,5.366e-24,7.498e-26,3.284e-28,8.290e+0,1.953e+1,4.153e-9,2.591e-28,3.030e-27,6.588e-27,3.631e-28,5.253e+0,4.174e-1,8.681e-12,9.045e-12,,6.604e-37,1.687e-26,1.976e-8,6.067e-24,6.959e-29,4.597e-24,8.485e-2,,4.693e-1,
507.22,3.526e+1,9.827e-25,2.346e-59,,2.680e-29,3.232e-37,1.431e-54,2.229e-13,,7.899e-67,2.287e-23,1.587e-26,,1.290e-24,1.303e-27,2.226e-37,1.095e-24,2.840e-26,9.278e-40,3.560e-22,7.868e-31,,5.370e-24,7.505e-26,1.010e-28,7.622e+0,2.001e+1,2.817e-9,2.614e-28,3.033e-27,6.605e-27,3.633e-28,6.724e+0,3.663e-1,5.787e-12,2.926e-11,,6.609e-37,1.688e-26,9.797e-9,6.068e-24,6.964e-29,4.602e-24,4.709e-2,,4.921e-1,
507.24,3.653e+1,9.850e-25,2.326e-59,,2.695e-29,3.238e-37,1.439e-54,1.911e-13,,7.900e-67,2.288e-23,1.588e-26,,1.290e-24,1.299e-27,2.224e-37,1.096e-24,2.835e-26,9.202e-40,1.867e-21,7.862e-31,,5.373e-24,7.512e-26,3.019e-29,6.815e+0,1.997e+1,1.860e-9,2.638e-28,3.035e-27,6.623e-27,3.635e-28,8.895e+0,3.178e-1,3.756e-12,9.207e-11,,6.614e-37,1.689e-26,4.723e-9,6.068e-24,6.968e-29,4.606e-24,2.542e-2,,5.056e-1,
507.25,3.720e+1,9.861e-25,2.315e-59,,2.703e-29,3.241e-37,1.444e-54,1.751e-13,,7.900e-67,2.288e-23,1.589e-26,,1.290e-24,1.297e-27,2.223e-37,1.096e-24,2.833e-26,9.164e-40,4.232e-21,7.860e-31,,5.374e-24,7.515e-26,1.633e-29,6.377e+0,1.975e+1,1.497e-9,2.650e-28,3.037e-27,6.631e-27,3.636e-28,1.025e+1,2.954e-1,2.999e-12,1.616e-10,,6.617e-37,1.689e-26,3.245e-9,6.069e-24,6.970e-29,4.609e-24,1.848e-2,,5.085e-1,
507.27,3.867e+1,9.883e-25,2.294e-59,,2.718e-29,3.247e-37,1.452e-54,1.439e-13,,7.901e-67,2.289e-23,1.590e-26,,1.290e-24,1.294e-27,2.222e-37,1.096e-24,2.829e-26,9.088e-40,2.129e-20,7.854e-31,,5.377e-24,7.522e-26,4.682e-30,5.467e+0,1.891e+1,9.495e-10,2.674e-28,3.040e-27,6.648e-27,3.637e-28,1.352e+1,2.558e-1,1.887e-12,4.880e-10,,6.622e-37,1.690e-26,1.500e-9,6.069e-24,6.975e-29,4.613e-24,9.562e-3,,5.063e-1,
507.29,4.040e+1,9.906e-25,2.274e-59,,2.733e-29,3.252e-37,1.460e-54,1.150e-13,,7.902e-67,2.290e-23,1.590e-26,,1.290e-24,1.290e-27,2.220e-37,1.097e-24,2.825e-26,9.012e-40,1.042e-19,7.848e-31,,5.380e-24,7.529e-26,1.306e-30,4.557e+0,1.762e+1,5.863e-10,2.697e-28,3.043e-27,6.665e-27,3.639e-28,1.750e+1,2.244e-1,1.189e-12,1.433e-9,,6.627e-37,1.691e-26,6.745e-10,6.070e-24,6.979e-29,4.618e-24,4.811e-3,,4.935e-1,
507.30,4.139e+1,9.917e-25,2.263e-59,,2.741e-29,3.255e-37,1.464e-54,1.018e-13,,7.902e-67,2.291e-23,1.591e-26,,1.290e-24,1.288e-27,2.219e-37,1.097e-24,2.823e-26,8.974e-40,2.280e-19,7.845e-31,,5.382e-24,7.532e-26,6.842e-31,4.117e+0,1.683e+1,4.561e-10,2.709e-28,3.044e-27,6.674e-27,3.640e-28,1.974e+1,2.121e-1,9.581e-13,2.430e-9,,6.629e-37,1.692e-26,4.476e-10,6.070e-24,6.981e-29,4.621e-24,3.377e-3,,4.834e-1,
507.32,4.362e+1,9.939e-25,2.242e-59,,2.756e-29,3.261e-37,1.472e-54,7.800e-14,,7.903e-67,2.292e-23,1.592e-26,,1.289e-24,1.285e-27,2.218e-37,1.097e-24,2.819e-26,8.898e-40,1.070e-18,7.840e-31,,5.385e-24,7.539e-26,1.924e-31,3.291e+0,1.505e+1,2.704e-10,2.733e-28,3.047e-27,6.691e-27,3.642e-28,2.463e+1,1.947e-1,6.849e-13,6.847e-9,,6.635e-37,1.692e-26,1.929e-10,6.071e-24,6.986e-29,4.625e-24,1.629e-3,,4.566e-1,
507.34,4.617e+1,9.962e-25,2.222e-59,,2.771e-29,3.266e-37,1.480e-54,5.814e-14,,7.904e-67,2.293e-23,1.593e-26,,1.289e-24,1.281e-27,2.216e-37,1.098e-24,2.815e-26,8.822e-40,4.881e-18,7.834e-31,,5.388e-24,7.546e-26,8.796e-32,2.558e+0,1.308e+1,1.560e-10,2.757e-28,3.050e-27,6.708e-27,3.643e-28,2.992e+1,1.871e-1,6.270e-13,1.876e-8,,6.640e-37,1.693e-26,8.087e-11,6.072e-24,6.990e-29,4.630e-24,7.644e-4,,4.221e-1,
507.35,4.754e+1,9.973e-25,2.211e-59,,2.779e-29,3.269e-37,1.484e-54,4.966e-14,,7.904e-67,2.294e-23,1.593e-26,,1.289e-24,1.279e-27,2.216e-37,1.098e-24,2.813e-26,8.784e-40,1.032e-17,7.831e-31,,5.390e-24,7.549e-26,1.040e-31,2.232e+0,1.207e+1,1.173e-10,2.768e-28,3.051e-27,6.717e-27,3.644e-28,3.265e+1,1.869e-1,6.754e-13,3.075e-8,,6.642e-37,1.694e-26,5.181e-11,6.072e-24,6.992e-29,4.632e-24,5.181e-4,,4.027e-1,
507.37,5.034e+1,9.995e-25,2.190e-59,,2.794e-29,3.275e-37,1.492e-54,3.549e-14,,7.905e-67,2.295e-23,1.594e-26,,1.289e-24,1.276e-27,2.214e-37,1.098e-24,2.809e-26,8.708e-40,4.516e-17,7.825e-31,,5.393e-24,7.556e-26,3.113e-31,1.664e+0,1.006e+1,6.492e-11,2.792e-28,3.054e-27,6.734e-27,3.646e-28,3.806e+1,1.935e-1,9.438e-13,8.085e-8,,6.647e-37,1.695e-26,2.083e-11,6.073e-24,6.997e-29,4.637e-24,2.330e-4,,3.606e-1,
507.39,5.305e+1,1.002e-24,2.170e-59,,2.809e-29,3.280e-37,1.501e-54,2.466e-14,,7.906e-67,2.296e-23,1.595e-26,,1.289e-24,1.272e-27,2.212e-37,1.099e-24,2.804e-26,8.632e-40,1.922e-16,7.819e-31,,5.396e-24,7.563e-26,1.133e-30,1.206e+0,8.154e+0,3.496e-11,2.816e-28,3.057e-27,6.751e-27,3.648e-28,4.316e+1,2.088e-1,1.499e-12,2.069e-7,,6.652e-37,1.696e-26,8.139e-12,6.074e-24,7.001e-29,4.642e-24,1.019e-4,,3.162e-1,
507.40,5.428e+1,1.003e-24,2.159e-59,,2.817e-29,3.283e-37,1.505e-54,2.035e-14,,7.906e-67,2.296e-23,1.596e-26,,1.289e-24,1.270e-27,2.212e-37,1.099e-24,2.802e-26,8.594e-40,3.924e-16,7.817e-31,,5.397e-24,7.567e-26,2.155e-30,1.016e+0,7.265e+0,2.539e-11,2.828e-28,3.059e-27,6.760e-27,3.649e-28,4.548e+1,2.194e-1,1.918e-12,3.275e-7,,6.655e-37,1.696e-26,5.035e-12,6.074e-24,7.003e-29,4.644e-24,6.670e-5,,2.937e-1,
507.42,5.631e+1,1.005e-24,2.138e-59,,2.832e-29,3.289e-37,1.513e-54,1.356e-14,,7.907e-67,2.297e-23,1.597e-26,,1.289e-24,1.266e-27,2.210e-37,1.100e-24,2.798e-26,8.518e-40,1.602e-15,7.811e-31,,5.400e-24,7.574e-26,7.656e-30,7.058e-1,5.647e+0,1.312e-11,2.851e-28,3.061e-27,6.777e-27,3.650e-28,4.946e+1,2.459e-1,3.141e-12,8.039e-7,,6.660e-37,1.697e-26,1.887e-12,6.075e-24,7.008e-29,4.649e-24,2.797e-5,,2.494e-1,
507.44,5.754e+1,1.007e-24,2.118e-59,,2.847e-29,3.295e-37,1.521e-54,8.784e-15,,7.907e-67,2.298e-23,1.598e-26,,1.289e-24,1.263e-27,2.209e-37,1.100e-24,2.794e-26,8.442e-40,6.360e-15,7.805e-31,,5.403e-24,7.580e-26,2.646e-29,4.770e-1,4.268e+0,6.593e-12,2.875e-28,3.064e-27,6.794e-27,3.652e-28,5.231e+1,2.780e-1,5.061e-12,1.920e-6,,6.665e-37,1.698e-26,6.875e-13,6.075e-24,7.012e-29,4.654e-24,1.141e-5,,2.073e-1,
507.45,5.777e+1,1.008e-24,2.107e-59,,2.855e-29,3.297e-37,1.525e-54,6.997e-15,,7.908e-67,2.299e-23,1.598e-26,,1.289e-24,1.261e-27,2.208e-37,1.100e-24,2.792e-26,8.404e-40,1.254e-14,7.802e-31,,5.405e-24,7.584e-26,4.867e-29,3.880e-1,3.672e+0,4.625e-12,2.887e-28,3.066e-27,6.803e-27,3.653e-28,5.323e+1,2.956e-1,6.370e-12,2.937e-6,,6.667e-37,1.699e-26,4.107e-13,6.076e-24,7.014e-29,4.656e-24,7.207e-6,,1.874e-1,
507.47,5.737e+1,1.011e-24,2.086e-59,,2.870e-29,3.303e-37,1.533e-54,4.347e-15,,7.909e-67,2.300e-23,1.599e-26,,1.289e-24,1.257e-27,2.206e-37,1.101e-24,2.788e-26,8.328e-40,4.774e-14,7.797e-31,,5.408e-24,7.591e-26,1.613e-28,2.514e-1,2.662e+0,2.230e-12,2.911e-28,3.069e-27,6.820e-27,3.655e-28,5.398e+1,3.325e-1,9.901e-12,6.733e-6,,6.672e-37,1.700e-26,1.435e-13,6.076e-24,7.019e-29,4.661e-24,2.818e-6,,1.508e-1,
507.48,5.672e+1,1.012e-24,2.076e-59,,2.877e-29,3.306e-37,1.537e-54,3.391e-15,,7.909e-67,2.300e-23,1.599e-26,,1.289e-24,1.255e-27,2.206e-37,1.101e-24,2.786e-26,8.290e-40,9.220e-14,7.794e-31,,5.410e-24,7.594e-26,2.906e-28,2.003e-1,2.242e+0,1.532e-12,2.922e-28,3.070e-27,6.829e-27,3.655e-28,5.379e+1,3.512e-1,1.222e-11,1.009e-5,,6.675e-37,1.700e-26,8.392e-14,6.077e-24,7.021e-29,4.663e-24,1.743e-6,,1.341e-1,
507.50,5.448e+1,1.014e-24,2.055e-59,,2.892e-29,3.312e-37,1.545e-54,2.020e-15,,7.910e-67,2.301e-23,1.600e-26,,1.288e-24,1.252e-27,2.204e-37,1.101e-24,2.782e-26,8.214e-40,3.367e-13,7.788e-31,,5.413e-24,7.601e-26,9.236e-28,1.244e-1,1.559e+0,7.082e-13,2.946e-28,3.073e-27,6.846e-27,3.657e-28,5.230e+1,3.873e-1,1.828e-11,2.220e-5,,6.680e-37,1.701e-26,2.811e-14,6.078e-24,7.025e-29,4.668e-24,6.536e-7,,1.044e-1,
507.52,5.109e+1,1.016e-24,2.034e-59,,2.908e-29,3.317e-37,1.554e-54,1.170e-15,,7.910e-67,2.303e-23,1.601e-26,,1.288e-24,1.248e-27,2.202e-37,1.102e-24,2.778e-26,8.138e-40,1.196e-12,7.782e-31,,5.416e-24,7.608e-26,2.855e-27,7.518e-2,1.053e+0,3.184e-13,2.970e-28,3.076e-27,6.863e-27,3.659e-28,4.946e+1,4.197e-1,2.663e-11,4.753e-5,,6.685e-37,1.702e-26,9.156e-15,6.078e-24,7.029e-29,4.673e-24,2.382e-7,,7.943e-2,
507.53,4.901e+1,1.017e-24,2.024e-59,,2.915e-29,3.320e-37,1.558e-54,8.814e-16,,7.911e-67,2.303e-23,1.602e-26,,1.288e-24,1.246e-27,2.202e-37,1.102e-24,2.776e-26,8.100e-40,2.230e-12,7.779e-31,,5.417e-24,7.611e-26,4.968e-27,5.782e-2,8.569e-1,2.113e-13,2.982e-28,3.077e-27,6.872e-27,3.660e-28,4.760e+1,4.335e-1,3.183e-11,6.884e-5,,6.687e-37,1.702e-26,5.171e-15,6.079e-24,7.032e-29,4.675e-24,1.423e-7,,6.870e-2,
507.55,4.425e+1,1.020e-24,2.003e-59,,2.930e-29,3.326e-37,1.566e-54,4.896e-16,,7.911e-67,2.304e-23,1.603e-26,,1.288e-24,1.243e-27,2.200e-37,1.102e-24,2.771e-26,8.025e-40,7.595e-12,7.774e-31,,5.420e-24,7.618e-26,1.473e-26,3.350e-2,5.553e-1,9.112e-14,3.005e-28,3.080e-27,6.889e-27,3.661e-28,4.316e+1,4.552e-1,4.462e-11,1.415e-4,,6.692e-37,1.703e-26,1.615e-15,6.079e-24,7.036e-29,4.680e-24,4.975e-8,,5.051e-2,
507.57,3.893e+1,1.022e-24,1.982e-59,,2.945e-29,3.331e-37,1.574e-54,2.644e-16,,7.912e-67,2.305e-23,1.604e-26,,1.288e-24,1.239e-27,2.199e-37,1.103e-24,2.767e-26,7.949e-40,2.516e-11,7.768e-31,,5.424e-24,7.625e-26,4.246e-26,1.887e-2,3.499e-1,3.821e-14,3.029e-28,3.083e-27,6.906e-27,3.663e-28,3.806e+1,4.671e-1,6.099e-11,2.830e-4,,6.698e-37,1.704e-26,4.904e-16,6.080e-24,7.040e-29,4.685e-24,1.691e-8,,3.628e-2,
507.58,3.615e+1,1.023e-24,1.972e-59,,2.953e-29,3.334e-37,1.578e-54,1.923e-16,,7.913e-67,2.306e-23,1.604e-26,,1.288e-24,1.237e-27,2.198e-37,1.103e-24,2.765e-26,7.911e-40,4.531e-11,7.765e-31,,5.425e-24,7.629e-26,7.134e-26,1.402e-2,2.749e-1,2.449e-14,3.041e-28,3.085e-27,6.915e-27,3.664e-28,3.536e+1,4.690e-1,7.064e-11,3.962e-4,,6.700e-37,1.705e-26,2.674e-16,6.080e-24,7.043e-29,4.687e-24,9.753e-9,,3.047e-2,
507.60,3.056e+1,1.025e-24,1.951e-59,,2.968e-29,3.340e-37,1.586e-54,9.961e-17,,7.913e-67,2.307e-23,1.605e-26,,1.288e-24,1.234e-27,2.196e-37,1.104e-24,2.761e-26,7.835e-40,1.440e-10,7.759e-31,,5.428e-24,7.636e-26,1.973e-25,7.571e-3,1.661e-1,9.859e-15,3.064e-28,3.087e-27,6.932e-27,3.666e-28,2.990e+1,4.642e-1,9.304e-11,7.608e-4,,6.705e-37,1.706e-26,7.786e-17,6.081e-24,7.047e-29,4.692e-24,3.178e-9,,2.112e-2,
507.62,2.515e+1,1.028e-24,1.930e-59,,2.983e-29,3.345e-37,1.594e-54,5.016e-17,,7.914e-67,2.308e-23,1.606e-26,,1.288e-24,1.230e-27,2.195e-37,1.104e-24,2.757e-26,7.759e-40,4.448e-10,7.754e-31,,5.431e-24,7.642e-26,5.305e-25,3.977e-3,9.761e-2,3.888e-15,3.088e-28,3.090e-27,6.949e-27,3.667e-28,2.459e+1,4.482e-1,1.196e-10,1.422e-3,,6.710e-37,1.707e-26,2.204e-17,6.082e-24,7.051e-29,4.696e-24,1.007e-9,,1.428e-2,
507.63,2.259e+1,1.029e-24,1.920e-59,,2.991e-29,3.348e-37,1.598e-54,3.523e-17,,7.914e-67,2.308e-23,1.607e-26,,1.288e-24,1.228e-27,2.194e-37,1.104e-24,2.755e-26,7.721e-40,7.737e-10,7.751e-31,,5.433e-24,7.646e-26,8.609e-25,2.852e-3,7.404e-2,2.446e-15,3.100e-28,3.092e-27,6.958e-27,3.668e-28,2.206e+1,4.362e-1,1.344e-10,1.924e-3,,6.713e-37,1.707e-26,1.161e-17,6.082e-24,7.054e-29,4.699e-24,5.608e-10,,1.164e-2,
507.65,1.786e+1,1.031e-24,1.899e-59,,3.006e-29,3.354e-37,1.607e-54,1.701e-17,,7.915e-67,2.309e-23,1.607e-26,,1.288e-24,1.224e-27,2.193e-37,1.105e-24,2.751e-26,7.645e-40,2.293e-9,7.745e-31,,5.436e-24,7.653e-26,2.220e-24,1.436e-3,4.172e-2,1.071e-15,3.124e-28,3.095e-27,6.975e-27,3.670e-28,1.740e+1,4.053e-1,1.667e-10,3.454e-3,,6.718e-37,1.708e-26,3.151e-18,6.083e-24,7.058e-29,4.703e-24,1.704e-10,,7.586e-3,
507.67,1.374e+1,1.033e-24,1.878e-59,,3.021e-29,3.360e-37,1.615e-54,7.988e-18,,7.916e-67,2.310e-23,1.608e-26,,1.287e-24,1.221e-27,2.191e-37,1.105e-24,2.747e-26,7.569e-40,6.607e-9,7.739e-31,,5.439e-24,7.660e-26,5.569e-24,7.035e-4,2.286e-2,8.098e-16,3.147e-28,3.097e-27,6.992e-27,3.672e-28,1.334e+1,3.671e-1,2.021e-10,6.035e-3,,6.723e-37,1.709e-26,8.316e-19,6.084e-24,7.062e-29,4.708e-24,5.033e-11,,4.822e-3,
507.68,1.193e+1,1.034e-24,1.868e-59,,3.029e-29,3.362e-37,1.619e-54,5.417e-18,,7.916e-67,2.311e-23,1.609e-26,,1.287e-24,1.219e-27,2.190e-37,1.105e-24,2.745e-26,7.531e-40,1.110e-8,7.736e-31,,5.440e-24,7.663e-26,8.728e-24,4.872e-4,1.674e-2,9.855e-16,3.159e-28,3.099e-27,7.001e-27,3.673e-28,1.156e+1,3.460e-1,2.206e-10,7.897e-3,,6.725e-37,1.709e-26,4.228e-19,6.084e-24,7.065e-29,4.711e-24,2.707e-11,,3.808e-3,
507.70,8.824e+0,1.036e-24,1.847e-59,,3.044e-29,3.368e-37,1.627e-54,2.439e-18,,7.917e-67,2.312e-23,1.610e-26,,1.287e-24,1.215e-27,2.189e-37,1.106e-24,2.740e-26,7.455e-40,3.068e-8,7.731e-31,,5.444e-24,7.670e-26,2.099e-23,2.288e-4,8.796e-3,2.136e-15,3.183e-28,3.102e-27,7.018e-27,3.674e-28,8.498e+0,3.014e-1,2.585e-10,1.325e-2,,6.730e-37,1.710e-26,1.070e-19,6.085e-24,7.069e-29,4.715e-24,7.667e-12,,2.329e-3,
507.72,6.359e+0,1.039e-24,1.826e-59,,3.059e-29,3.374e-37,1.635e-54,1.068e-18,,7.918e-67,2.313e-23,1.611e-26,,1.287e-24,1.212e-27,2.187e-37,1.106e-24,2.736e-26,7.379e-40,8.246e-8,7.725e-31,,5.447e-24,7.677e-26,4.911e-23,1.045e-4,4.493e-3,5.281e-15,3.207e-28,3.105e-27,7.035e-27,3.676e-28,6.076e+0,2.559e-1,2.962e-10,2.166e-2,,6.735e-37,1.711e-26,2.633e-20,6.085e-24,7.073e-29,4.720e-24,2.111e-12,,1.388e-3,
